measurement;ID;ID2;date;d18O;x;y;SE_permill;SE_percent;OH;Distance_um
31;B;BH-00356;11.09.2021;-7.0686637;-4475;5516;0.16;0.04;0.0389;1120.198643
32;B;BH-00356;11.09.2021;-7.4081672;-4444;5499;0.24;0.1;0.0397;1084.843307
33;B;BH-00356;11.09.2021;-7.4081672;-4413;5481;0.2;0.17;0.0397;1049.00715
34;B;BH-00356;11.09.2021;-7.4469676;-4382;5464;0.18;0.05;0.0407;1013.651814
35;B;BH-00356;11.09.2021;-8.358777;-4351;5446;0.17;0.08;0.0369;977.8164449
36;B;BH-00356;11.09.2021;-8.7273808;-4320;5429;0.2;0.09;0.0363;942.4611398
37;B;BH-00356;11.09.2021;-8.8049816;-4289;5412;0.2;0.1;0.0374;907.1058373
38;B;BH-00356;11.09.2021;-8.1259746;-4258;5394;0.17;0.09;0.0391;871.2714847
39;B;BH-00356;11.09.2021;-8.164775;-4227;5377;0.21;0.1;0.0409;835.9162637
40;B;BH-00356;11.09.2021;-7.6894701;-4196;5359;0.19;0.12;0.0399;800.0831207
41;B;BH-00356;11.09.2021;-8.3199766;-4165;5342;0.16;0.06;0.0389;764.7280562
42;B;BH-00356;11.09.2021;-8.9310829;-4133;5325;0.19;0.15;0.0425;728.4943377
43;B;BH-00356;11.09.2021;-7.6312695;-4101;5307;0.2;0.06;0.0437;691.783203
44;B;BH-00356;11.09.2021;-6.1083538;-4069;5290;0.19;0.05;0.0425;655.5493879
45;B;BH-00356;11.09.2021;-7.0783638;-4037;5272;0.16;0.07;0.0452;618.838428
46;B;BH-00356;11.09.2021;-7.2626657;-4005;5255;0.18;0.07;0.0448;582.6044971
47;B;BH-00356;11.09.2021;-7.3499666;-3973;5238;0.16;0.07;0.0442;546.3707532
48;B;BH-00356;11.09.2021;-8.0968743;-3941;5220;0.19;0.18;0.0442;509.6596904
49;B;BH-00356;11.09.2021;-8.1453748;-3909;5203;0.18;0.07;0.0441;473.4258126
50;B;BH-00356;11.09.2021;-7.5730689;-3877;5185;0.2;0.12;0.0441;436.71501
51;B;BH-00356;11.09.2021;-8.6594801;-3845;5168;0.19;0.08;0.0465;400.4809608
52;B;BH-00356;11.09.2021;-8.8728823;-3813;5151;0.22;0.09;0.0456;364.2471688
53;B;BH-00356;11.09.2021;-9.0959846;-3781;5133;0.2;0.1;0.0469;327.5362575
54;B;BH-00356;11.09.2021;-9.0474841;-3749;5116;0.22;0.08;0.0449;291.3022485
55;B;BH-00356;11.09.2021;NA;-3717;5098;0.24;0.24;0.0488;254.5918302
56;B;BH-00356;11.09.2021;NA;-3685;5081;0.29;0.07;0.0509;218.357505
57;B;BH-00356;11.09.2021;NA;-3653;5064;0.28;0.04;0.049;182.1235844
58;B;BH-00356;11.09.2021;NA;-3621;5046;0.23;0.06;0.0498;145.4132044
59;B;BH-00356;11.09.2021;-8.7370809;-3589;5064;0.22;0.15;0.0517;129.5569373
60;B;BH-00356;11.09.2021;-8.5333788;-3557;5011;0.17;0.12;0.0497;72.47068373
61;B;BH-00356;11.09.2021;-8.6206797;-3525;4994;0.16;0.06;0.0503;36.23534186
62;B;core;11.09.2021;NA;-3493;4977;0.3;0.09;0.0494;0
1;C;margin;11.09.2021;NA;3363;5843;;0.06;0.1656;1839.017401
2;C;BH-00391;11.09.2021;-7.0880639;3329;5853;0.16;0.06;0.0371;1803.586704
3;C;BH-00391;11.09.2021;-2.7133188;3295;5863;0.17;0.07;0.0375;1768.156384
4;C;BH-00391;11.09.2021;-6.4478573;3262;5874;0.19;0.07;0.0401;1733.373878
5;C;BH-00391;11.09.2021;-8.3684771;3229;5884;0.21;0.1;0.0398;1698.896112
6;C;BH-00391;11.09.2021;-5.157744;3196;5895;0.24;0.06;0.0355;1664.113578
7;C;BH-00391;11.09.2021;-7.2335654;3163;5905;0.18;0.06;0.0385;1629.635849
8;C;BH-00391;11.09.2021;-7.3305664;3130;5916;0.15;0.2;0.039;1594.853285
9;C;BH-00391;11.09.2021;-7.6215694;3097;5926;0.12;0.07;0.0369;1560.375596
10;C;BH-00391;11.09.2021;-5.8755514;3064;5937;0.23;0.12;0.0347;1525.592999
11;C;BH-00391;11.09.2021;-7.5439686;3031;5948;0.17;0.09;0.0374;1490.810518
12;C;BH-00391;11.09.2021;-8.7661812;2998;5958;0.19;0.11;0.0373;1456.332723
13;C;BH-00391;11.09.2021;-7.485768;2965;5969;0.2;0.05;0.036;1421.55021
14;C;BH-00391;11.09.2021;-7.6603698;2932;5979;0.19;0.2;0.0367;1387.072457
15;C;BH-00391;11.09.2021;-7.8931722;2899;5990;0.18;0.09;0.0381;1352.28991
16;C;BH-00391;11.09.2021;-7.3596667;2866;6000;0.16;0.15;0.0369;1317.812202
17;C;BH-00391;11.09.2021;-7.2626657;2833;6011;0.17;0.09;0.0387;1283.029618
18;C;BH-00391;11.09.2021;-6.127754;2800;6021;0.15;0.15;0.0398;1248.551961
19;C;BH-00391;11.09.2021;-6.7582605;2767;6032;0.16;0.15;0.0371;1213.769336
20;C;BH-00391;11.09.2021;-8.164775;2734;6043;0.15;0.09;0.0385;1178.986853
21;C;BH-00391;11.09.2021;-8.9795834;2701;6053;0.22;0.1;0.0399;1144.509065
22;C;BH-00391;11.09.2021;-8.5624791;2668;6064;0.23;0.09;0.0423;1109.726543
23;C;BH-00391;11.09.2021;-5.7882505;2635;6074;0.18;0.14;0.0377;1075.248808
24;C;BH-00391;11.09.2021;-7.2141652;2602;6085;0.2;0.04;0.0385;1040.466242
25;C;BH-00391;11.09.2021;-8.9601832;2569;6095;0.2;0.07;0.0384;1005.988569
26;C;BH-00391;11.09.2021;-8.9795834;2536;6106;0.14;0.16;0.0419;971.2059514
27;C;BH-00391;11.09.2021;-9.3093868;2503;6117;0.2;0.11;0.0434;936.4235153
28;C;BH-00391;11.09.2021;-8.9504831;2470;6127;0.17;0.06;0.0424;901.9456746
29;C;BH-00391;11.09.2021;-8.5721792;2437;6138;0.16;0.31;0.0429;867.1631911
30;C;BH-00391;11.09.2021;-5.2838453;2404;6148;0.15;0.15;0.043;832.6854148
31;C;BH-00391;11.09.2021;-8.4072775;2371;6159;0.19;0.14;0.0382;797.9028763
32;C;BH-00391;11.09.2021;-8.5624791;2338;6169;0.16;0.21;0.0409;763.4251764
33;C;BH-00391;11.09.2021;-8.3878773;2305;6180;0.2;0.09;0.0408;728.6425736
34;C;BH-00391;11.09.2021;-8.067774;2272;6190;0.19;0.17;0.042;694.164966
35;C;BH-00391;11.09.2021;-7.9416727;2239;6201;0.17;0.23;0.0452;659.3822867
36;C;BH-00391;11.09.2021;-5.9046517;2206;6212;0.16;0.08;0.04;624.5998719
37;C;BH-00391;11.09.2021;-8.1259746;2173;6222;0.14;0.08;0.0444;590.1220213
38;C;BH-00391;11.09.2021;-8.6400799;2139;6233;0.2;0.14;0.0455;554.3870489
39;C;BH-00391;11.09.2021;-8.5139786;2107;6243;0.16;0.08;0.0438;520.8617859
40;C;BH-00391;11.09.2021;-9.3384871;2073;6254;0.22;0.14;0.0435;485.1267876
41;C;BH-00391;11.09.2021;-7.7864711;2041;6264;0.16;0.15;0.043;451.6015943
42;C;BH-00391;11.09.2021;-7.4566677;2007;6275;0.21;0.23;0.0435;415.8665651
43;C;BH-00391;11.09.2021;-7.8155714;1975;6286;0.23;0.12;0.0411;382.0366475
44;C;BH-00391;11.09.2021;-8.0192735;1941;6296;0.21;0.1;0.0418;346.606405
45;C;BH-00391;11.09.2021;-8.2520759;1909;6307;0.17;0.1;0.0438;312.7762779
46;C;BH-00391;11.09.2021;-7.7088703;1875;6317;0.15;0.13;0.0419;277.3463539
47;C;BH-00391;12.09.2021;-7.3014661;1843;6328;0.17;0.03;0.0403;243.5159132
48;C;BH-00391;12.09.2021;-7.8058713;1809;6338;0.2;0.07;0.0422;208.0865205
49;C;BH-00391;12.09.2021;-7.7670709;1777;6349;0.2;0.04;0.0434;174.2555595
50;C;BH-00391;12.09.2021;-8.8146817;1743;6360;0.13;0.06;0.0443;138.5207566
51;C;BH-00391;12.09.2021;-7.8349716;1711;6370;0.17;0.05;0.0427;104.995238
52;C;BH-00391;12.09.2021;-7.9416727;1677;6381;0.15;0.07;0.0428;69.26037828
53;C;BH-00391;12.09.2021;-8.1744751;1645;6391;0.16;0.09;0.0427;35.73513677
54;C;core;12.09.2021;-8.0774741;1611;6402;0.19;0.12;0.0463;0
1;D;margin;12.09.2021;-8.0580739;-6786;0;0.24;0.17;0.0383;1831.289163
