measurement;ID;ID2;date;d18O;x;y;SE_permill;SE_percent;OH;Distance_um
5;G;BH-00411;12.09.2021;-4.8570409;-4684;-6082;0.18;0.05;0.038;1334.317054
6;G;BH-00411;12.09.2021;-4.8473408;-4681;-6047;0.15;0.12;0.0391;1299.188978
7;G;BH-00411;12.09.2021;-6.9231622;-4678;-6012;0.17;0.14;0.0389;1264.060916
8;G;BH-00411;12.09.2021;-7.8446717;-4675;-5977;0.21;0.08;0.0385;1228.93287
9;G;BH-00411;12.09.2021;-5.7300499;-4672;-5941;0.2;0.13;0.0388;1192.80887
10;G;BH-00411;12.09.2021;-7.8252715;-4669;-5905;0.22;0.07;0.0427;1156.684918
11;G;BH-00411;12.09.2021;-6.2344551;-4666;-5869;0.19;0.21;0.042;1120.56102
12;G;BH-00411;12.09.2021;-7.6021692;-4663;-5833;0.2;0.17;0.0414;1084.437181
13;G;BH-00411;12.09.2021;-7.9998733;-4660;-5797;0.2;0.06;0.043;1048.313407
14;G;BH-00411;12.09.2021;-7.000763;-4657;-5761;0.17;0.05;0.0429;1012.189706
15;G;BH-00411;12.09.2021;-7.7476707;-4654;-5725;0.26;0.12;0.0436;976.0660838
16;G;BH-00411;12.09.2021;-7.1074641;-4651;-5689;0.17;0.2;0.0406;939.9425514
17;G;BH-00411;12.09.2021;-7.4954681;-4648;-5653;0.23;0.1;0.0397;903.8191191
18;G;BH-00411;12.09.2021;-6.5545584;-4645;-5617;0.24;0.14;0.0398;867.6957992
19;G;BH-00411;12.09.2021;-4.1489336;-4642;-5581;0.2;0.14;0.0413;831.5726066
20;G;BH-00411;12.09.2021;-3.9549316;-4639;-5545;0.2;0.12;0.0425;795.4495584
21;G;BH-00411;12.09.2021;-5.1965444;-4636;-5509;0.18;0.13;0.0416;759.3266754
22;G;BH-00411;12.09.2021;-6.3411562;-4633;-5473;0.13;0.19;0.0435;723.2039823
23;G;BH-00411;12.09.2021;-6.7970609;-4630;-5437;0.21;0.11;0.0421;687.081509
24;G;BH-00411;12.09.2021;-6.3120559;-4627;-5401;0.2;0.12;0.0417;650.9592921
25;G;BH-00411;12.09.2021;-6.9619626;-4624;-5365;0.19;0.1;0.0432;614.8373769
26;G;BH-00411;12.09.2021;-7.67977;-4621;-5329;0.21;0.16;0.0429;578.7158197
27;G;BH-00411;12.09.2021;-7.776771;-4618;-5293;0.17;0.16;0.045;542.5946922
28;G;BH-00411;12.09.2021;-7.2529656;-4615;-5257;0.18;0.12;0.0434;506.4740862
29;G;BH-00411;12.09.2021;-7.3596667;-4612;-5221;0.23;0.07;0.0436;470.3541219
30;G;BH-00411;12.09.2021;-7.5051682;-4609;-5185;0.17;0.16;0.0434;434.2349594
31;G;BH-00411;12.09.2021;-8.1744751;-4606;-5149;0.22;0.08;0.0442;398.116817
32;G;BH-00411;12.09.2021;-9.3869876;-4603;-5113;0.19;0.04;0.0447;362
33;G;BH-00411;12.09.2021;-8.9795834;-4600;-5077;0.27;0.05;0.0447;325.884949
34;G;BH-00411;12.09.2021;-9.0765844;-4597;-5041;0.17;0.05;0.0459;289.7723244
35;G;BH-00411;12.09.2021;-8.2035754;-4593;-5005;0.22;0.07;0.044;253.5507839
36;G;BH-00411;12.09.2021;-7.8834721;-4589;-4969;0.24;0.08;0.0428;217.3292433
37;G;BH-00411;12.09.2021;-5.7009496;-4585;-4933;0.19;0.13;0.0412;181.1077028
38;G;BH-00411;12.09.2021;-7.8058713;-4581;-4897;0.23;0.06;0.0418;144.8861622
39;G;BH-00411;12.09.2021;-8.3975774;-4577;-4861;0.18;0.07;0.0448;108.6646217
40;G;BH-00411;12.09.2021;-8.0483738;-4573;-4825;0.2;0.04;0.0399;72.44308111
41;G;BH-00411;12.09.2021;-9.2608863;-4569;-4789;0.19;0.06;0.0398;36.22154055
42;G;core;12.09.2021;-9.6391902;-4565;-4753;0.22;0.07;0.0407;0
1;H;margin;12.09.2021;NA;-4810;-179;2.16;1.05;0.0974;1906.322376
2;H;BH-00418;12.09.2021;-6.8455614;-4789;-207;0.14;0.19;0.0289;1871.324665
3;H;BH-00418;12.09.2021;-5.6815494;-4768;-235;0.19;0.16;0.0343;1836.327041
4;H;BH-00418;12.09.2021;-5.0025424;-4747;-263;0.18;0.11;0.0314;1801.329509
5;H;BH-00418;12.09.2021;-6.0210529;-4726;-291;0.14;0.1;0.0336;1766.332075
6;H;BH-00418;12.09.2021;-6.8940619;-4705;-319;0.21;0.42;0.0315;1731.334745
7;H;BH-00418;12.09.2021;-7.8349716;-4684;-347;0.15;0.11;0.0339;1696.337525
8;H;BH-00418;12.09.2021;-6.9522625;-4663;-375;0.23;0.11;0.0349;1661.340423
9;H;BH-00418;12.09.2021;-4.5563378;-4642;-403;0.2;0.11;0.0345;1626.343445
10;H;BH-00418;12.09.2021;-5.73975;-4621;-431;0.14;0.08;0.0342;1591.3466
11;H;BH-00418;12.09.2021;-6.9910629;-4600;-459;0.2;0.21;0.034;1556.349896
12;H;BH-00418;12.09.2021;-7.0492635;-4579;-487;0.22;0.06;0.0332;1521.353345
13;H;BH-00418;12.09.2021;-6.6030589;-4558;-515;0.17;0.04;0.0378;1486.356956
14;H;BH-00418;12.09.2021;-5.836751;-4537;-543;0.19;0.21;0.0388;1451.360741
15;H;BH-00418;12.09.2021;-4.6921392;-4516;-571;0.18;0.1;0.0384;1416.364713
16;H;BH-00418;12.09.2021;-6.8843618;-4495;-599;0.15;0.1;0.0345;1381.368886
17;H;BH-00418;12.09.2021;-7.1462645;-4474;-627;0.21;0.14;0.0353;1346.373277
18;H;BH-00418;12.09.2021;-6.6418593;-4453;-655;0.22;0.06;0.0338;1311.377901
19;H;BH-00418;12.09.2021;-8.261776;-4397;-648;0.17;0.23;0.035;1283.492501
20;H;BH-00418;12.09.2021;-7.3208663;-4411;-711;0.16;0.08;0.0356;1241.387933
21;H;BH-00418;12.09.2021;-7.0880639;-4390;-739;0.11;0.16;0.0381;1206.393385
22;H;BH-00418;12.09.2021;-6.0016527;-4369;-767;0.18;0.14;0.0415;1171.399163
23;H;BH-00418;12.09.2021;-6.5739586;-4348;-795;0.19;0.16;0.0429;1136.405297
24;H;BH-00418;12.09.2021;-6.6612595;-4327;-823;0.21;0.06;0.0385;1101.411821
25;H;BH-00418;12.09.2021;-7.1171642;-4306;-851;0.17;0.04;0.0385;1066.418773
26;H;BH-00418;12.09.2021;-7.3596667;-4285;-879;0.19;0.1;0.0367;1031.426197
27;H;BH-00418;12.09.2021;-7.1559646;-4264;-907;0.21;0.14;0.0396;996.4341423
28;H;BH-00418;12.09.2021;-6.9231622;-4243;-935;0.18;0.16;0.0398;961.442666
29;H;BH-00418;12.09.2021;-6.7000599;-4221;-963;0.14;0.19;0.0402;925.8336784
30;H;BH-00418;12.09.2021;-6.3411562;-4199;-991;0.17;0.24;0.0409;890.2246907
31;H;BH-00418;12.09.2021;-6.6418593;-4177;-1019;0.21;0.19;0.0414;854.6157031
32;H;BH-00418;12.09.2021;-7.3499666;-4155;-1047;0.18;0.05;0.0416;819.0067155
33;H;BH-00418;12.09.2021;-7.2044651;-4133;-1075;0.19;0.07;0.0409;783.3977278
34;H;BH-00418;12.09.2021;-7.2820659;-4111;-1103;0.18;0.11;0.0388;747.7887402
35;H;BH-00418;12.09.2021;-7.9416727;-4089;-1131;0.24;0.09;0.0383;712.1797526
36;H;BH-00418;12.09.2021;-7.9222725;-4067;-1159;0.18;0.06;0.0388;676.570765
37;H;BH-00418;12.09.2021;-7.8252715;-4045;-1187;0.24;0.11;0.0396;640.9617773
38;H;BH-00418;12.09.2021;-7.3693668;-4023;-1215;0.16;0.08;0.0411;605.3527897
39;H;BH-00418;12.09.2021;-7.6894701;-4001;-1243;0.19;0.06;0.0422;569.7438021
40;H;BH-00418;12.09.2021;-7.9222725;-3979;-1271;0.2;0.08;0.0435;534.1348144
41;H;BH-00418;12.09.2021;-8.2229756;-3957;-1299;0.23;0.12;0.0422;498.5258268
42;H;BH-00418;12.09.2021;-6.9328623;-3935;-1327;0.16;0.08;0.0432;462.9168392
43;H;BH-00418;12.09.2021;-7.1753648;-3913;-1355;0.21;0.11;0.0427;427.3078516
44;H;BH-00418;12.09.2021;-6.1665544;-3891;-1383;0.19;0.06;0.0408;391.6988639
45;H;BH-00418;12.09.2021;-7.4372675;-3869;-1411;0.21;0.04;0.0411;356.0898763
46;H;BH-00418;12.09.2021;-7.6506697;-3847;-1439;0.19;0.1;0.0418;320.4808887
47;H;BH-00418;12.09.2021;-7.9416727;-3825;-1467;0.22;0.07;0.0427;284.871901
48;H;BH-00418;12.09.2021;-6.9328623;-3803;-1495;0.18;0.06;0.0427;249.2629134
49;H;BH-00418;12.09.2021;-7.8640719;-3781;-1523;0.2;0.04;0.041;213.6539258
50;H;BH-00418;12.09.2021;-8.5042785;-3759;-1551;0.22;0.06;0.0408;178.0449381
51;H;BH-00418;12.09.2021;-8.3781772;-3737;-1579;0.17;0.05;0.0413;142.4359505
52;H;BH-00418;12.09.2021;-8.552779;-3715;-1607;0.21;0.05;0.0435;106.8269629
53;H;BH-00418;12.09.2021;-7.6603698;-3693;-1635;0.15;0.06;0.043;71.21797526
54;H;BH-00418;12.09.2021;-7.6506697;-3671;-1663;0.2;0.17;0.0407;35.60898763
55;H;core;12.09.2021;-8.0095734;-3649;-1691;0.24;0.08;0.0397;0
1;I;margin;13.09.2021;-6.9619626;-2897;-7038;0.21;0.2;0.0376;2117.578098
2;I;BH-00419;13.09.2021;-7.0298633;-2870;-7017;0.2;0.09;0.0291;2083.374426
3;I;BH-00419;13.09.2021;-7.5245684;-2843;-6996;0.21;0.08;0.0306;2049.170808
4;I;BH-00419;13.09.2021;-5.3032455;-2816;-6975;0.16;0.09;0.0297;2014.967245
5;I;BH-00419;13.09.2021;-6.4866577;-2789;-6954;0.14;0.21;0.0289;1980.763742
6;I;BH-00419;13.09.2021;-6.9425624;-2762;-6932;0.19;0.06;0.0295;1945.938334
7;I;BH-00419;13.09.2021;-4.4690369;-2735;-6910;0.18;0.4;0.0294;1911.113026
8;I;BH-00419;13.09.2021;-6.7194601;-2708;-6888;0.21;0.07;0.0291;1876.287824
9;I;BH-00419;13.09.2021;-7.1268643;-2681;-6866;0.17;0.1;0.0285;1841.462734
10;I;BH-00419;13.09.2021;-7.0880639;-2654;-6844;0.18;0.28;0.0314;1806.637761
11;I;BH-00419;13.09.2021;-5.2838453;-2627;-6822;0.19;0.23;0.0299;1771.812913
12;I;BH-00419;13.09.2021;-5.545748;-2600;-6800;0.18;0.09;0.0297;1736.988198
13;I;BH-00419;13.09.2021;-6.0404531;-2573;-6778;0.2;0.2;0.0306;1702.163623
14;I;BH-00419;13.09.2021;-7.5342685;-2546;-6756;0.19;0.04;0.0296;1667.339198
15;I;BH-00419;13.09.2021;-6.4769576;-2519;-6734;0.15;0.31;0.031;1632.514931
16;I;BH-00419;13.09.2021;-4.9152415;-2492;-6712;0.19;0.04;0.0291;1597.690834
17;I;BH-00419;13.09.2021;-5.6912495;-2465;-6690;0.2;0.1;0.0319;1562.866917
18;I;BH-00419;13.09.2021;-7.582769;-2438;-6668;0.2;0.1;0.0287;1528.043193
19;I;BH-00419;13.09.2021;-8.9698833;-2411;-6646;0.14;0.25;0.0304;1493.219676
20;I;BH-00419;13.09.2021;-8.5236787;-2384;-6624;0.19;0.14;0.0355;1458.39638
21;I;BH-00419;13.09.2021;-5.8561512;-2357;-6602;0.2;0.07;0.0323;1423.573321
22;I;BH-00419;13.09.2021;-5.642749;-2330;-6580;0.18;0.06;0.0319;1388.750518
23;I;BH-00419;13.09.2021;-7.5924691;-2302;-6558;0.21;0.11;0.0326;1353.14153
24;I;BH-00419;13.09.2021;;-2274;-6536;0.16;0.15;0.0295;1317.532542
25;I;BH-00419;13.09.2021;;-2246;-6514;0.27;0.12;0.0346;1281.923555
26;I;BH-00419;13.09.2021;-8.3102765;-2218;-6492;0.17;0.05;0.0357;1246.314567
27;I;BH-00419;13.09.2021;-5.4681472;-2190;-6470;0.18;0.1;0.0337;1210.705579
28;I;BH-00419;13.09.2021;-6.8843618;-2162;-6448;0.19;0.19;0.0353;1175.096592
29;I;BH-00419;13.09.2021;-8.1259746;-2134;-6426;0.18;0.11;0.0354;1139.487604
30;I;BH-00419;13.09.2021;-7.7379706;-2106;-6404;0.2;0.13;0.0376;1103.878617
31;I;BH-00419;13.09.2021;-6.2150549;-2078;-6382;0.18;0.22;0.036;1068.269629
32;I;BH-00419;13.09.2021;-7.0492635;-2050;-6360;0.17;0.16;0.0386;1032.660641
33;I;BH-00419;13.09.2021;-8.0192735;-2022;-6338;0.16;0.21;0.0347;997.0516536
34;I;BH-00419;13.09.2021;-8.2229756;-1994;-6316;0.16;0.2;0.0357;961.442666
35;I;BH-00419;13.09.2021;-7.6894701;-1966;-6294;0.13;0.14;0.0383;925.8336784
36;I;BH-00419;13.09.2021;-7.3208663;-1938;-6272;0.2;0.17;0.0386;890.2246907
37;I;BH-00419;13.09.2021;-5.6233488;-1910;-6250;0.13;0.17;0.0368;854.6157031
38;I;BH-00419;13.09.2021;-7.3790669;-1882;-6228;0.16;0.17;0.0386;819.0067155
39;I;BH-00419;13.09.2021;-7.4469676;-1854;-6206;0.16;0.16;0.0356;783.3977278
40;I;BH-00419;13.09.2021;-8.5624791;-1826;-6184;0.14;0.18;0.0334;747.7887402
41;I;BH-00419;13.09.2021;-7.8640719;-1798;-6162;0.24;0.05;0.0374;712.1797526
42;I;BH-00419;13.09.2021;-6.9910629;-1770;-6140;0.14;0.13;0.0389;676.570765
43;I;BH-00419;13.09.2021;-5.1480439;-1742;-6118;0.19;0.14;0.0368;640.9617773
44;I;BH-00419;13.09.2021;-6.5060579;-1714;-6096;0.19;0.12;0.0384;605.3527897
45;I;BH-00419;13.09.2021;-7.0201632;-1686;-6074;0.18;0.08;0.0361;569.7438021
46;I;BH-00419;13.09.2021;-7.6215694;-1658;-6052;0.12;0.12;0.0373;534.1348144
47;I;BH-00419;13.09.2021;-7.3596667;-1630;-6030;0.16;0.17;0.0369;498.5258268
48;I;BH-00419;13.09.2021;-7.2626657;-1602;-6008;0.16;0.09;0.0403;462.9168392
49;I;BH-00419;13.09.2021;-6.8649616;-1574;-5986;0.18;0.05;0.0402;427.3078516
50;I;BH-00419;13.09.2021;-7.0298633;-1546;-5964;0.14;0.1;0.0403;391.6988639
51;I;BH-00419;13.09.2021;-5.351746;-1518;-5942;0.18;0.06;0.0369;356.0898763
52;I;BH-00419;13.09.2021;-5.9725524;-1490;-5920;0.16;0.16;0.0394;320.4808887
53;I;BH-00419;13.09.2021;-7.0104631;-1462;-5898;0.17;0.13;0.038;284.871901
54;I;BH-00419;13.09.2021;-6.9813628;-1434;-5876;0.2;0.06;0.0386;249.2629134
55;I;BH-00419;13.09.2021;-7.6506697;-1406;-5854;0.14;0.14;0.0393;213.6539258
56;I;BH-00419;13.09.2021;-7.7961712;-1378;-5832;0.21;0.1;0.0395;178.0449381
57;I;BH-00419;13.09.2021;-7.8446717;-1350;-5810;0.15;0.12;0.0395;142.4359505
58;I;BH-00419;13.09.2021;-8.2035754;-1322;-5788;0.18;0.13;0.0397;106.8269629
59;I;BH-00419;13.09.2021;-8.2423758;-1294;-5766;0.2;0.09;0.0382;71.21797526
60;I;BH-00419;13.09.2021;-7.8543718;-1266;-5744;0.14;0.05;0.036;35.60898763
61;I;core;13.09.2021;-7.3693668;-1238;-5722;0.18;0.09;0.0354;0
1;J;margin;13.09.2021;-2.0731122;5500;-2810;0.16;0.08;0.0355;1552.348543
2;J;BH-01767;13.09.2021;-0.8605997;5484;-2841;0.18;0.11;0.0346;1517.471911
3;J;BH-01767;13.09.2021;-2.1022125;5468;-2872;0.17;0.08;0.0342;1482.595697
4;J;BH-01767;13.09.2021;-1.5881072;5453;-2903;0.18;0.19;0.0335;1448.15745
5;J;BH-01767;13.09.2021;-3.1983238;5438;-2934;0.19;0.11;0.0328;1413.719208
6;J;BH-01767;13.09.2021;-3.4311262;5423;-2965;0.17;0.21;0.0337;1379.280972
7;J;BH-01767;13.09.2021;-1.0546017;5408;-2996;0.17;0.08;0.0334;1344.842742
8;J;BH-01767;13.09.2021;-2.8200199;5393;-3027;0.14;0.1;0.035;1310.404518
9;J;BH-01767;13.09.2021;-2.8006197;5378;-3058;0.2;0.06;0.0338;1275.9663
10;J;BH-01767;13.09.2021;-1.956711;5363;-3089;0.19;0.08;0.0334;1241.528091
11;J;BH-01767;13.09.2021;-2.6745184;5348;-3120;0.16;0.05;0.0336;1207.089889
12;J;BH-01767;13.09.2021;-3.1789236;5332;-3151;0.21;0.05;0.0346;1172.213718
13;J;BH-01767;13.09.2021;-2.0149116;5317;-3182;0.17;0.06;0.0338;1137.775461
14;J;BH-01767;13.09.2021;-3.3535254;5302;-3213;0.2;0.12;0.0339;1103.33721
15;J;BH-01767;13.09.2021;-3.7318293;5287;-3244;0.13;0.15;0.0353;1068.898966
16;J;BH-01767;13.09.2021;-3.4408263;5272;-3275;0.21;0.14;0.0327;1034.460729
17;J;BH-01767;13.09.2021;-1.8694101;5257;-3306;0.17;0.11;0.032;1000.0225
18;J;BH-01767;13.09.2021;-3.3438253;5242;-3337;0.16;0.07;0.0342;965.5842791
19;J;BH-01767;13.09.2021;-4.5369376;5227;-3368;0.18;0.07;0.0319;931.146068
20;J;BH-01767;13.09.2021;-3.896731;5212;-3399;0.24;0.06;0.0356;896.7078677
21;J;BH-01767;13.09.2021;-4.2362345;5197;-3430;0.19;0.14;0.0374;862.2696794
22;J;BH-01767;13.09.2021;-2.635718;5181;-3461;0.14;0.17;0.0365;827.3934977
23;J;BH-01767;13.09.2021;-4.4011362;5166;-3492;0.2;0.09;0.037;792.955232
24;J;BH-01767;13.09.2021;-4.8473408;5151;-3523;0.21;0.05;0.0362;758.5169741
25;J;BH-01767;13.09.2021;-5.0316427;5136;-3554;0.21;0.05;0.0347;724.078725
26;J;BH-01767;13.09.2021;-4.478737;5121;-3585;0.17;0.09;0.0359;689.6404861
27;J;BH-01767;13.09.2021;-1.6851082;5106;-3616;0.2;0.16;0.0377;655.2022588
28;J;BH-01767;13.09.2021;-3.120723;5091;-3647;0.17;0.06;0.042;620.7640454
29;J;BH-01767;13.09.2021;-3.9646317;5076;-3678;0.19;0.14;0.0355;586.325848
30;J;BH-01767;13.09.2021;-3.8773308;5061;-3709;0.14;0.12;0.0361;551.8876697
31;J;BH-01767;13.09.2021;-4.0519326;5046;-3740;0.18;0.11;0.0373;517.4495144
32;J;BH-01767;13.09.2021;-3.896731;5030;-3771;0.15;0.12;0.0383;482.5733105
33;J;BH-01767;13.09.2021;-4.0519326;5015;-3802;0.21;0.11;0.0368;448.1350243
34;J;BH-01767;13.09.2021;-4.3138353;5000;-3833;0.15;0.09;0.0378;413.6967488
35;J;BH-01767;13.09.2021;-4.9249416;4985;-3864;0.22;0.09;0.042;379.2584871
36;J;BH-01767;13.09.2021;-1.8694101;4970;-3895;0.19;0.08;0.0409;344.820243
37;J;BH-01767;13.09.2021;-3.1013228;4955;-3926;0.23;0.07;0.0408;310.3820227
38;J;BH-01767;13.09.2021;-3.4214261;4940;-3957;0.19;0.07;0.0404;275.9438349
39;J;BH-01767;13.09.2021;-3.4505264;4925;-3988;0.18;0.06;0.0401;241.5056935
40;J;BH-01767;13.09.2021;-4.1295334;4910;-4019;0.21;0.13;0.0383;207.0676218
41;J;BH-01767;13.09.2021;-4.3914361;4895;-4050;0.15;0.06;0.04;172.6296614
42;J;BH-01767;13.09.2021;-5.254745;4879;-4081;0.18;0.13;0.0465;137.7534029
43;J;BH-01767;13.09.2021;-4.187734;4864;-4112;0.18;0.04;0.0386;103.3150521
44;J;BH-01767;13.09.2021;-3.993732;4849;-4143;0.13;0.04;0.0354;68.87670143
45;J;BH-01767;13.09.2021;-4.1392335;4834;-4174;0.24;0.12;0.04;34.43835072
46;J;core;13.09.2021;-3.7221292;4819;-4205;0.14;0.16;0.0391;0
1;K;margin;13.09.2021;NA;-1278;-4606;1.17;2.62;0.0554;1392.133973
2;K;BH-01772;13.09.2021;-2.7812195;-1251;-4584;0.19;0.09;0.0357;1357.306892
3;K;BH-01772;13.09.2021;-1.4038053;-1224;-4562;0.2;0.07;0.0317;1322.479868
4;K;BH-01772;13.09.2021;-0.9964011;-1197;-4540;0.18;0.12;0.0323;1287.652904
5;K;BH-01772;13.09.2021;-2.4611162;-1170;-4518;0.17;0.07;0.0348;1252.826005
6;K;BH-01772;13.09.2021;-2.5678173;-1143;-4496;0.19;0.07;0.0351;1217.999179
7;K;BH-01772;13.09.2021;-1.9664111;-1116;-4474;0.19;0.12;0.0344;1183.17243
8;K;BH-01772;13.09.2021;-0.1815927;-1088;-4452;0.19;0.11;0.0323;1147.564813
9;K;BH-01772;13.09.2021;-1.6075074;-1060;-4430;0.14;0.19;0.0338;1111.957283
10;K;BH-01772;13.09.2021;-3.4311262;-1032;-4408;0.21;0.13;0.0332;1076.34985
11;K;BH-01772;13.09.2021;-3.3729256;-1004;-4386;0.18;0.04;0.0345;1040.742523
12;K;BH-01772;13.09.2021;-3.3244251;-976;-4364;0.16;0.13;0.0377;1005.135314
13;K;BH-01772;13.09.2021;-0.4240952;-948;-4342;0.23;0.05;0.0336;969.5282358
14;K;BH-01772;13.09.2021;-2.1216127;-920;-4320;0.17;0.15;0.0342;933.9213029
15;K;BH-01772;13.09.2021;-3.2274241;-892;-4298;0.2;0.05;0.0328;898.3145329
16;K;BH-01772;13.09.2021;-2.926721;-864;-4276;0.19;0.13;0.0341;862.7079459
17;K;BH-01772;13.09.2021;-1.8403098;-836;-4254;0.12;0.08;0.0361;827.1015657
18;K;BH-01772;13.09.2021;-1.5008063;-808;-4232;0.15;0.09;0.0367;791.4954201
19;K;BH-01772;13.09.2021;-2.9558213;-780;-4210;0.19;0.14;0.0352;755.8895422
20;K;BH-01772;13.09.2021;-3.0043218;-752;-4188;0.21;0.19;0.0351;720.2839718
21;K;BH-01772;13.09.2021;-3.896731;-724;-4166;0.22;0.06;0.0376;684.6787568
22;K;BH-01772;13.09.2021;-4.0616327;-696;-4144;0.16;0.14;0.0375;649.0739557
23;K;BH-01772;13.09.2021;-4.0810329;-668;-4122;0.13;0.12;0.0374;613.4696407
24;K;BH-01772;13.09.2021;-4.7600399;-640;-4100;0.15;0.05;0.0379;577.8659014
25;K;BH-01772;13.09.2021;-3.5960279;-612;-4078;0.18;0.13;0.0404;542.2628514
26;K;BH-01772;13.09.2021;-1.9470109;-584;-4056;0.14;0.11;0.0385;506.6606359
27;K;BH-01772;13.09.2021;-1.7724091;-556;-4034;0.17;0.2;0.0391;471.0594442
28;K;BH-01772;13.09.2021;-2.9073208;-528;-4011;0.16;0.26;0.0405;434.8241024
29;K;BH-01772;13.09.2021;-3.9355314;-500;-3988;0.18;0.14;0.0413;398.5887605
30;K;BH-01772;13.09.2021;-4.4981372;-472;-3965;0.23;0.11;0.0403;362.3534186
31;K;BH-01772;13.09.2021;-4.3526357;-444;-3942;0.19;0.12;0.0405;326.1180768
32;K;BH-01772;13.09.2021;-4.4302365;-416;-3919;0.19;0.08;0.0412;289.8827349
33;K;BH-01772;13.09.2021;-4.1683338;-388;-3896;0.21;0.15;0.0412;253.647393
34;K;BH-01772;13.09.2021;-4.4011362;-360;-3873;0.15;0.1;0.0412;217.4120512
35;K;BH-01772;13.09.2021;-4.7309396;-332;-3850;0.19;0.04;0.0447;181.1767093
36;K;BH-01772;13.09.2021;-4.6630389;-304;-3827;0.23;0.11;0.0423;144.9413675
37;K;BH-01772;13.09.2021;-4.6242385;-276;-3804;0.17;0.04;0.0404;108.7060256
38;K;BH-01772;13.09.2021;-4.7503398;-248;-3781;0.18;0.02;0.0403;72.47068373
39;K;BH-01772;13.09.2021;-4.4108363;-220;-3758;0.2;0.13;0.0381;36.23534186
40;K;core;13.09.2021;-4.8279406;-192;-3735;0.18;0.11;0.0371;0
1;L;margin;13.09.2021;-1.2680039;5741;-411;0.24;0.2;0.0342;1371.849846
2;L;BH-01774;13.09.2021;-2.4999166;5717;-437;0.12;0.08;0.0364;1336.466984
3;L;BH-01774;13.09.2021;-1.8791102;5693;-463;0.21;0.06;0.035;1301.084163
4;L;BH-01774;13.09.2021;-0.2591935;5669;-489;0.16;0.1;0.0342;1265.701387
5;L;BH-01774;14.09.2021;-0.9285004;5645;-515;0.23;0.06;0.0358;1230.318658
6;L;BH-01774;14.09.2021;-2.2865144;5622;-541;0.17;0.06;0.0351;1195.60905
7;L;BH-01774;14.09.2021;-2.3253148;5598;-567;0.15;0.09;0.0355;1160.226271
8;L;BH-01774;14.09.2021;-2.247714;5574;-593;0.14;0.16;0.038;1124.843545
9;L;BH-01774;14.09.2021;-2.8685204;5551;-619;0.18;0.1;0.035;1090.133937
10;L;BH-01774;14.09.2021;-2.0343118;5527;-645;0.19;0.14;0.0386;1054.751155
11;L;BH-01774;14.09.2021;-1.4814061;5503;-671;0.21;0.13;0.0383;1019.368432
12;L;BH-01774;14.09.2021;-2.7812195;5480;-697;0.19;0.13;0.036;984.6588242
13;L;BH-01774;14.09.2021;-3.1304231;5456;-723;0.17;0.06;0.0324;949.2760399
14;L;BH-01774;14.09.2021;-3.5281272;5432;-749;0.2;0.05;0.0345;913.8933198
15;L;BH-01774;14.09.2021;-3.2371242;5409;-775;0.2;0.08;0.0372;879.1837123
16;L;BH-01774;14.09.2021;-3.4602265;5385;-801;0.18;0.16;0.0393;843.8009244
17;L;BH-01774;14.09.2021;-3.2856247;5361;-827;0.16;0.18;0.041;808.4182086
18;L;BH-01774;14.09.2021;-0.9576007;5338;-853;0.18;0.07;0.0397;773.7086015
19;L;BH-01774;14.09.2021;-2.4708163;5314;-879;0.14;0.12;0.0381;738.3258088
20;L;BH-01774;14.09.2021;-3.3923258;5290;-905;0.18;0.19;0.0357;702.9430987
21;L;BH-01774;14.09.2021;-3.1013228;5267;-931;0.16;0.05;0.0372;668.2334921
22;L;BH-01774;14.09.2021;-2.9655214;5243;-957;0.19;0.05;0.038;632.8506933
23;L;BH-01774;14.09.2021;-3.3826257;5219;-983;0.2;0.04;0.0385;597.4679908
24;L;BH-01774;14.09.2021;-3.3923258;5196;-1009;0.18;0.21;0.0416;562.7583851
25;L;BH-01774;14.09.2021;-1.665708;5172;-1035;0.19;0.06;0.036;527.3755777
26;L;BH-01774;14.09.2021;-1.9179106;5148;-1061;0.17;0.14;0.0405;491.9928861
27;L;BH-01774;14.09.2021;-3.3826257;5125;-1087;0.17;0.11;0.0418;457.283282
28;L;BH-01774;14.09.2021;-3.4020259;5101;-1113;0.17;0.07;0.0405;421.9004622
29;L;BH-01774;14.09.2021;-3.9549316;5077;-1139;0.16;0.15;0.042;386.5177874
30;L;BH-01774;14.09.2021;-3.5475274;5054;-1165;0.22;0.08;0.0422;351.8081864
31;L;BH-01774;14.09.2021;-3.4796267;5030;-1191;0.2;0.07;0.0441;316.4253466
32;L;BH-01774;14.09.2021;-4.672739;5006;-1217;0.26;0.06;0.0471;281.0427014
33;L;BH-01774;14.09.2021;-4.2944351;4982;-1243;0.16;0.06;0.0477;245.6603346
34;L;BH-01774;14.09.2021;-4.7309396;4959;-1269;0.15;0.05;0.0478;210.9502311
35;L;BH-01774;14.09.2021;-4.4108363;4935;-1295;0.23;0.05;0.0467;175.5676508
36;L;BH-01774;14.09.2021;-4.6145384;4911;-1321;0.2;0.05;0.0456;140.1855913
37;L;BH-01774;14.09.2021;-5.0219426;4888;-1347;0.21;0.04;0.045;105.4751155
38;L;BH-01774;14.09.2021;-4.9831422;4864;-1373;0.19;0.08;0.0463;70.09279564
39;L;BH-01774;14.09.2021;-4.5660379;4840;-1399;0.21;0.35;0.0477;34.71310992
40;L;core;14.09.2021;-4.3332355;4817;-1425;0.21;0.1;0.0452;0
