measurement;ID;ID2;date;d18O;x;y;SE_permill;SE_percent;OH;site;Distance_um
35;18;BH-01737;04.06.2021;-7.7864711;-4261;2290;0.124;0.068;0.046;WRB;662.8431187
36;18;BH-01737;04.06.2021;-7.3984671;-4281;2256;0.136;0.103;0.047;WRB;623.3979467
37;18;BH-01737;04.06.2021;-7.3790669;-4301;2223;0.087;0.126;0.05;WRB;584.8110806
38;18;BH-01737;04.06.2021;-4.9152415;-4321;2189;0.114;0.034;0.048;WRB;545.3659322
39;18;BH-01737;04.06.2021;-6.2344551;-4341;2156;0.099;0.099;0.047;WRB;506.7790446
40;18;BH-01737;04.06.2021;-7.1365644;-4361;2122;0.125;0.065;0.048;WRB;467.3339277
41;18;BH-01737;04.06.2021;-6.9134621;-4381;2089;0.12;0.11;0.048;WRB;428.7470117
42;18;BH-01737;04.06.2021;-8.2035754;-4401;2055;0.124;0.153;0.054;WRB;389.3019394
43;18;BH-01737;04.06.2021;-6.8649616;-4421;2022;0.12;0.103;0.049;WRB;350.714984
44;18;BH-01737;04.06.2021;-6.8455614;-4441;1988;0.108;0.132;0.053;WRB;311.2699793
45;18;BH-01737;04.06.2021;-4.4399366;-4461;1955;0.117;0.041;0.046;WRB;272.6829661
46;18;BH-01737;04.06.2021;-5.1092435;-4481;1921;0.128;0.051;0.046;WRB;233.2380758
47;18;BH-01737;04.06.2021;-4.4496367;-4501;1888;0.1;0.014;0.044;WRB;194.6509697
48;18;BH-01737;04.06.2021;-4.9346417;-4521;1854;0.105;0.024;0.042;WRB;155.2063143
49;18;BH-01737;04.06.2021;-6.3605564;-4541;1821;0.158;0.077;0.047;WRB;116.6190379
50;18;BH-01737;04.06.2021;-6.1762545;-4561;1787;0.123;0.077;0.042;WRB;77.17512553
51;18;BH-01737;04.06.2021;-5.4196467;-4581;1753;0.111;0.077;0.041;WRB;37.73592453
52;18;core;04.06.2021;-4.5466377;-4601;1721;0.119;0.058;0.037;WRB;0
1;19;margin;04.06.2021;-4.9831422;-3236;0;0.122;0.047;0.046;WRB;1645.86178
2;19;BH-90307;04.06.2021;-5.5845484;-3256;-35;0.119;0.058;0.048;WRB;1605.551619
3;19;BH-90307;04.06.2021;-6.9619626;-3276;-70;0.146;0.126;0.048;WRB;1565.241515
4;19;BH-90307;04.06.2021;-5.0801432;-3296;-105;0.078;0.028;0.05;WRB;1524.931474
5;19;BH-90307;04.06.2021;-5.6233488;-3316;-140;0.149;0.119;0.049;WRB;1484.621501
6;19;BH-90307;04.06.2021;-6.6515594;-3336;-175;0.118;0.054;0.048;WRB;1444.311601
7;19;BH-90307;04.06.2021;-6.8843618;-3356;-210;0.128;0.097;0.053;WRB;1404.001781
8;19;BH-90307;04.06.2021;-7.7185704;-3376;-245;0.132;0.087;0.058;WRB;1363.692047
9;19;BH-90307;04.06.2021;-6.0792535;-3396;-280;0.142;0.052;0.046;WRB;1323.382409
10;19;BH-90307;04.06.2021;-5.1965444;-3416;-315;0.131;0.053;0.048;WRB;1283.072874
11;19;BH-90307;04.06.2021;-6.2150549;-3436;-350;0.122;0.055;0.05;WRB;1242.763453
12;19;BH-90307;04.06.2021;-4.5563378;-3456;-385;0.107;0.069;0.043;WRB;1202.454157
13;19;BH-90307;04.06.2021;-4.5563378;-3476;-420;0.111;0.091;0.042;WRB;1162.145
14;19;BH-90307;04.06.2021;-5.836751;-3496;-455;0.118;0.063;0.045;WRB;1121.835995
15;19;BH-90307;04.06.2021;-6.7194601;-3516;-490;0.09;0.173;0.05;WRB;1081.527161
16;19;BH-90307;04.06.2021;-6.3120559;-3536;-525;0.103;0.129;0.048;WRB;1041.218517
17;19;BH-90307;04.06.2021;-4.1489336;-3556;-560;0.129;0.029;0.044;WRB;1000.910086
18;19;BH-90307;04.06.2021;-5.4584471;-3576;-595;0.131;0.038;0.044;WRB;960.6018946
19;19;BH-90307;04.06.2021;-6.224755;-3596;-630;0.116;0.072;0.046;WRB;920.2939748
20;19;BH-90307;04.06.2021;-5.7882505;-3616;-665;0.115;0.16;0.051;WRB;879.9863635
21;19;BH-90307;04.06.2021;-4.4108363;-3636;-700;0.136;0.073;0.048;WRB;839.6791054
22;19;BH-90307;04.06.2021;-5.7203498;-3656;-735;0.094;0.117;0.047;WRB;799.3722537
23;19;BH-90307;04.06.2021;-6.3799566;-3676;-770;0.101;0.08;0.048;WRB;759.0658733
24;19;BH-90307;04.06.2021;-6.2150549;-3696;-805;0.11;0.042;0.047;WRB;718.7600434
25;19;BH-90307;04.06.2021;-5.0219426;-3716;-840;0.104;0.056;0.047;WRB;678.4548622
26;19;BH-90307;04.06.2021;-7.0298633;-3736;-875;0.1;0.041;0.047;WRB;638.1504525
27;19;BH-90307;04.06.2021;-7.0395634;-3756;-910;0.096;0.1;0.046;WRB;597.8469704
28;19;BH-90307;04.06.2021;-6.4284571;-3776;-945;0.093;0.116;0.048;WRB;557.544617
29;19;BH-90307;04.06.2021;-6.7970609;-3795;-980;0.144;0.126;0.049;WRB;517.7200015
30;19;BH-90307;04.06.2021;-7.485768;-3814;-1015;0.127;0.181;0.053;WRB;477.895386
31;19;BH-90307;04.06.2021;-5.7591502;-3833;-1050;0.111;0.116;0.05;WRB;438.0707705
32;19;BH-90307;04.06.2021;-4.7406397;-3852;-1085;0.153;0.078;0.046;WRB;398.246155
33;19;BH-90307;04.06.2021;-5.351746;-3871;-1120;0.113;0.08;0.047;WRB;358.4215395
34;19;BH-90307;04.06.2021;-6.6709596;-3890;-1155;0.12;0.06;0.05;WRB;318.596924
35;19;BH-90307;04.06.2021;-6.8455614;-3909;-1190;0.116;0.049;0.05;WRB;278.7723085
36;19;BH-90307;04.06.2021;-8.5139786;-3928;-1225;0.135;0.081;0.063;WRB;238.947693
37;19;BH-90307;04.06.2021;-7.194765;-3947;-1260;0.144;0.037;0.048;WRB;199.1230775
38;19;BH-90307;04.06.2021;-6.6612595;-3966;-1295;0.129;0.026;0.048;WRB;159.298462
39;19;BH-90307;04.06.2021;-7.1365644;-3985;-1330;0.109;0.022;0.048;WRB;119.4738465
40;19;BH-90307;04.06.2021;-7.2141652;-4004;-1365;0.151;0.054;0.05;WRB;79.64923101
41;19;BH-90307;04.06.2021;-7.8446717;-4023;-1400;0.12;0.016;0.048;WRB;39.8246155
42;19;core;04.06.2021;-6.612759;-4042;-1435;0.129;0.044;0.045;WRB;0
1;20;margin;04.06.2021;-6.321756;-1444;-2639;0.129;0.129;0.048;WRB;1215.076129
2;20;BH-01802;04.06.2021;-4.575738;-1466;-2672;0.104;0.056;0.045;WRB;1175.415246
3;20;BH-01802;04.06.2021;-5.5263478;-1488;-2705;0.103;0.048;0.049;WRB;1135.754375
4;20;BH-01802;04.06.2021;-7.4372675;-1510;-2738;0.131;0.054;0.06;WRB;1096.093518
5;20;BH-01802;04.06.2021;-7.3402665;-1532;-2771;0.153;0.065;0.053;WRB;1056.432677
6;20;BH-01802;04.06.2021;-5.7009496;-1554;-2804;0.114;0.1;0.055;WRB;1016.771852
7;20;BH-01802;04.06.2021;-5.0510429;-1576;-2837;0.109;0.081;0.054;WRB;977.1110479
8;20;BH-01802;04.06.2021;-5.060743;-1598;-2870;0.114;0.075;0.049;WRB;937.4502653
9;20;BH-01802;04.06.2021;-7.0783638;-1620;-2903;0.09;0.03;0.056;WRB;897.7895076
10;20;BH-01802;04.06.2021;-4.3623358;-1642;-2936;0.134;0.044;0.045;WRB;858.1287782
11;20;BH-01802;04.06.2021;-5.3032455;-1664;-2969;0.101;0.029;0.047;WRB;818.4680812
12;20;BH-01802;04.06.2021;-6.3411562;-1686;-3002;0.097;0.111;0.047;WRB;778.8074216
13;20;BH-01802;04.06.2021;-6.5642585;-1708;-3035;0.124;0.073;0.046;WRB;739.1468054
14;20;BH-01802;04.06.2021;-6.3993568;-1730;-3068;0.086;0.055;0.049;WRB;699.48624
15;20;BH-01802;04.06.2021;-6.3314561;-1752;-3101;0.109;0.088;0.051;WRB;659.8257346
16;20;BH-01802;04.06.2021;-6.3993568;-1774;-3134;0.105;0.041;0.051;WRB;620.1653005
17;20;BH-01802;04.06.2021;-5.6815494;-1796;-3167;0.106;0.049;0.05;WRB;580.5049526
18;20;BH-01802;04.06.2021;-4.5466377;-1818;-3200;0.124;0.085;0.047;WRB;540.8447097
19;20;BH-01802;04.06.2021;-5.4002465;-1840;-3232;0.144;0.069;0.049;WRB;502.012948
20;20;BH-01802;04.06.2021;-6.1859546;-1862;-3264;0.134;0.08;0.049;WRB;463.18139
21;20;BH-01802;04.06.2021;-7.970773;-1884;-3296;0.121;0.126;0.054;WRB;424.3500913
22;20;BH-01802;04.06.2021;-7.3208663;-1906;-3328;0.121;0.077;0.048;WRB;385.5191305
23;20;BH-01802;04.06.2021;-7.0104631;-1928;-3360;0.114;0.12;0.054;WRB;346.6886211
24;20;BH-01802;04.06.2021;-7.1559646;-1950;-3392;0.082;0.125;0.055;WRB;307.8587338
25;20;BH-01802;04.06.2021;-7.5342685;-1972;-3424;0.129;0.079;0.05;WRB;269.0297381
