"station"	"month"	"depth"	"temperature"	"salinity"	"Lat"	"Long"	"area"
"GB7"	8	"bottom"	19.5825	7.125	54.20667	13.653331	"WRB"
"GB7"	8	"surface"	20.1007142857143	7.21190476190476	54.20667	13.653331	"WRB"
"GB7"	9	"bottom"	16.87	7.2	54.20667	13.653331	"WRB"
"GB7"	9	"surface"	17.03375	7.05	54.20667	13.653331	"WRB"
"GB7"	10	"bottom"	12.15	7	54.20667	13.653331	"WRB"
"GB7"	10	"surface"	12.11	7.28888888888889	54.20667	13.653331	"WRB"
"GB7"	11	"bottom"	8.2	7.3	54.20667	13.653331	"WRB"
"GB7"	11	"surface"	7.94111111111111	7.04285714285714	54.20667	13.653331	"WRB"
"GB7"	12	"bottom"	3.75	7.3	54.20667	13.653331	"WRB"
"GB7"	12	"surface"	3.63	7.36666666666667	54.20667	13.653331	"WRB"
"GB8"	1	"bottom"	2.1	7.25	54.19	13.725001	"WRB"
"GB8"	1	"surface"	1.9	7.54444444444444	54.19	13.725001	"WRB"
"GB8"	2	"bottom"	0.15	7.95	54.19	13.725001	"WRB"
"GB8"	2	"surface"	-0.00555555555555556	8.01666666666667	54.19	13.725001	"WRB"
"GB8"	3	"bottom"	-0.05	7.3	54.19	13.725001	"WRB"
"GB8"	3	"surface"	0.05	7.0875	54.19	13.725001	"WRB"
"GB8"	4	"bottom"	6	6.95	54.19	13.725001	"WRB"
"GB8"	4	"surface"	6.25	6.96166666666667	54.19	13.725001	"WRB"
"GB8"	5	"bottom"	11.8	7	54.19	13.725001	"WRB"
"GB8"	5	"surface"	11.8444444444444	7.02222222222222	54.19	13.725001	"WRB"
"GB8"	6	"surface"	14.6	7	54.19	13.725001	"WRB"
"GB8"	7	"bottom"	22.55	6.85	54.19	13.725001	"WRB"
"GB8"	7	"surface"	22.5972222222222	6.87222222222222	54.19	13.725001	"WRB"
"GB8"	8	"bottom"	18.6	6.9	54.19	13.725001	"WRB"
"GB8"	8	"surface"	19.1277777777778	6.95277777777778	54.19	13.725001	"WRB"
"GB8"	9	"bottom"	16.8	6.95	54.19	13.725001	"WRB"
"GB8"	9	"surface"	17.2460317460317	7.00396825396825	54.19	13.725001	"WRB"
"GB8"	10	"bottom"	12.15	6.45	54.19	13.725001	"WRB"
"GB8"	10	"surface"	12.4666666666667	7.00555555555556	54.19	13.725001	"WRB"
"GB8"	11	"bottom"	7.6	7.1	54.19	13.725001	"WRB"
"GB8"	11	"surface"	7.675	7.075	54.19	13.725001	"WRB"
"GB8"	12	"bottom"	4.7	7.2	54.19	13.725001	"WRB"
"GB8"	12	"surface"	4.63333333333333	7.6	54.19	13.725001	"WRB"
"GB9"	1	"bottom"	2.2	5.5	54.157	13.742	"WRB"
"GB9"	1	"surface"	2.9	7.375	54.157	13.742	"WRB"
"GB9"	2	"bottom"	2.3	7.3	54.157	13.742	"WRB"
"GB9"	2	"surface"	2.53333333333333	7.03333333333333	54.157	13.742	"WRB"
"GB9"	3	"bottom"	5	7.1	54.157	13.742	"WRB"
"GB9"	3	"surface"	5.4	6.86875	54.157	13.742	"WRB"
"GB9"	4	"bottom"	9.9	6.25	54.157	13.742	"WRB"
"GB9"	4	"surface"	10.9	5.27708333333333	54.157	13.742	"WRB"
"GB9"	5	"bottom"	14	6.15	54.157	13.742	"WRB"
"GB9"	5	"surface"	14.82125	6.39375	54.157	13.742	"WRB"
"GB9"	6	"bottom"	17.055	5.75	54.157	13.742	"WRB"
"GB9"	6	"surface"	17.1294444444444	6.30486111111111	54.157	13.742	"WRB"
"GB9"	7	"bottom"	19.485	6.25	54.157	13.742	"WRB"
"GB9"	7	"surface"	19.9994444444444	6.62777777777778	54.157	13.742	"WRB"
"GB9"	8	"bottom"	19.7	5.7	54.157	13.742	"WRB"
"GB9"	8	"surface"	19.9333333333333	5	54.157	13.742	"WRB"
"GB9"	9	"bottom"	15.8	6.7	54.157	13.742	"WRB"
"GB9"	9	"surface"	15.5666666666667	7.05	54.157	13.742	"WRB"
"GB9"	10	"bottom"	11.8	6.2	54.157	13.742	"WRB"
"GB9"	10	"surface"	12.17875	5.5625	54.157	13.742	"WRB"
"GB9"	11	"bottom"	7.1	5.95	54.157	13.742	"WRB"
"GB9"	11	"surface"	7.01375	6.10208333333333	54.157	13.742	"WRB"
"GB9"	12	"bottom"	4	7.2	54.157	13.742	"WRB"
"GB9"	12	"surface"	2.93333333333333	7	54.157	13.742	"WRB"
