"fishID"	"capt_date"	"TL_mm"	"weight"	"sex"	"area"	"age"	"cohort"	"lifeyear"	"inc_um"	"rad_um"	"core"	"sims_dist"	"d18O"	"comment"
"BH-00356"	"2019-07-09"	815	3000	"f"	"Peene"	7	2012	1	659.2	659.2	229.3	436.71501	-7.5730689	"OK"
"BH-00356"	"2019-07-09"	815	3000	"f"	"Peene"	7	2012	1	659.2	659.2	229.3	473.4258126	-8.1453748	"OK"
"BH-00356"	"2019-07-09"	815	3000	"f"	"Peene"	7	2012	1	659.2	659.2	229.3	509.6596904	-8.0968743	"OK"
"BH-00356"	"2019-07-09"	815	3000	"f"	"Peene"	7	2012	1	659.2	659.2	229.3	546.3707532	-7.3499666	"OK"
"BH-00356"	"2019-07-09"	815	3000	"f"	"Peene"	7	2012	1	659.2	659.2	229.3	582.6044971	-7.2626657	"OK"
"BH-00356"	"2019-07-09"	815	3000	"f"	"Peene"	7	2012	1	659.2	659.2	229.3	618.838428	-7.0783638	"OK"
"BH-00356"	"2019-07-09"	815	3000	"f"	"Peene"	7	2012	1	659.2	659.2	229.3	655.5493879	-6.1083538	"OK"
"BH-00356"	"2019-07-09"	815	3000	"f"	"Peene"	7	2012	2	207.8	807	229.3	691.783203	-7.6312695	"OK"
"BH-00356"	"2019-07-09"	815	3000	"f"	"Peene"	7	2012	2	207.8	807	229.3	728.4943377	-8.9310829	"OK"
"BH-00356"	"2019-07-09"	815	3000	"f"	"Peene"	7	2012	2	207.8	807	229.3	764.7280562	-8.3199766	"OK"
"BH-00356"	"2019-07-09"	815	3000	"f"	"Peene"	7	2012	2	207.8	807	229.3	800.0831207	-7.6894701	"OK"
"BH-00356"	"2019-07-09"	815	3000	"f"	"Peene"	7	2012	3	444.8	1191.8	229.3	835.9162637	-8.164775	"OK"
"BH-00356"	"2019-07-09"	815	3000	"f"	"Peene"	7	2012	3	444.8	1191.8	229.3	871.2714847	-8.1259746	"OK"
"BH-00356"	"2019-07-09"	815	3000	"f"	"Peene"	7	2012	3	444.8	1191.8	229.3	907.1058373	-8.8049816	"OK"
"BH-00356"	"2019-07-09"	815	3000	"f"	"Peene"	7	2012	3	444.8	1191.8	229.3	942.4611398	-8.7273808	"OK"
"BH-00356"	"2019-07-09"	815	3000	"f"	"Peene"	7	2012	3	444.8	1191.8	229.3	977.8164449	-8.358777	"OK"
"BH-00356"	"2019-07-09"	815	3000	"f"	"Peene"	7	2012	3	444.8	1191.8	229.3	1013.651814	-7.4469676	"OK"
"BH-00356"	"2019-07-09"	815	3000	"f"	"Peene"	7	2012	3	444.8	1191.8	229.3	1049.00715	-7.4081672	"OK"
"BH-00356"	"2019-07-09"	815	3000	"f"	"Peene"	7	2012	3	444.8	1191.8	229.3	1084.843307	-7.4081672	"OK"
"BH-00356"	"2019-07-09"	815	3000	"f"	"Peene"	7	2012	3	444.8	1191.8	229.3	1120.198643	-7.0686637	"OK"
"BH-00356"	"2019-07-09"	815	3000	"f"	"Peene"	7	2012	3	444.8	1191.8	229.3	1155.55398	-6.7679606	"OK"
"BH-00356"	"2019-07-09"	815	3000	"f"	"Peene"	7	2012	3	444.8	1191.8	229.3	1191.390784	-6.8358613	"OK"
"BH-00356"	"2019-07-09"	815	3000	"f"	"Peene"	7	2012	4	359.8	1491.6	229.3	1226.746103	-7.3208663	"OK"
"BH-00356"	"2019-07-09"	815	3000	"f"	"Peene"	7	2012	4	359.8	1491.6	229.3	1262.583463	-7.5439686	"OK"
"BH-00356"	"2019-07-09"	815	3000	"f"	"Peene"	7	2012	4	359.8	1491.6	229.3	1297.93875	-7.3790669	"OK"
